County,2014Pop,2015Pop,2016Pop,2017Pop,2018Pop
Adams,479477,489774,497419,503375,511868
Alamosa,15758,15854,16006,16056,16683
Arapahoe,617498,628951,637266,643257,651215
Archuleta,12240,12401,12839,13316,13765
Baca,3576,3544,3522,3539,3585
Bent,5777,5885,5664,5866,5882
Boulder,312588,318071,321363,322854,326078
Broomfield,61617,64713,66399,68169,69267
Chaffee,18453,18578,19077,19623,20027
Cheyenne,1836,1815,1835,1835,1876
Clear Creek,9127,9279,9395,9625,9605
Conejos,8196,8034,8018,8117,8200
Costilla,3563,3577,3700,3771,3828
Crowley,5559,5567,5203,5749,5858
Custer,4337,4431,4579,4859,4954
Delta,29968,29929,30377,30578,30953
Denver,664715,683081,696347,705651,716492
Dolores,1968,1973,2050,2040,2074
Douglas,314527,321772,327970,335635,342776
Eagle,53091,53610,54294,54662,54993
El Paso,23965,24522,25004,25594,713856
Elbert,663443,674993,689082,701283,26282
Fremont,46093,46245,46940,47521,48021
Garfield,57182,57755,58938,59167,59770
Gilpin,5737,5792,5901,6000,6121
Grand,14535,14686,15124,15297,15525
Gunnison,15792,16120,16433,16871,17246
Hinsdale,771,764,786,791,811
Huerfano,6370,6379,6557,6605,6889
Jackson,1384,1350,1356,1375,1399
Jefferson,558554,564441,570932,575193,580233
Kiowa,1377,1382,1343,1364,1383
Kit Carson,7998,8193,7629,7154,7163
La Plata,7272,7399,7534,7705,56310
Lake,53883,54711,55378,55619,7824
Larimer,323792,332980,338704,343853,350518
Las Animas,14041,14029,14059,14197,14503
Lincoln,5512,5548,5551,5526,5610
Logan,22104,22122,22043,21893,21528
Mesa,147735,148597,150258,151900,153207
Mineral,703,745,756,752,776
Moffat,12944,12952,13169,13112,13188
Montezuma,25464,25674,25961,26074,26158
Montrose,40564,40552,41142,41763,42214
Morgan,28007,28108,28015,28075,28558
Otero,18335,18187,18206,18370,18432
Ouray,4560,4587,4766,4783,4833
Park,16353,16704,17339,17892,18556
Phillips,4375,4310,4274,4275,4286
Pitkin,17664,17864,17873,17875,17950
Prowers,12042,11921,11939,12004,12164
Pueblo,161042,162664,164447,165974,167529
Rio Blanco,6599,6480,6434,6345,6336
Rio Grande,11482,11320,11313,11251,11250
Routt,24016,24307,24667,25178,25733
Saguache,6199,6252,6412,6631,6843
San Juan,712,689,690,714,762
San Miguel,7704,7787,7957,7967,8191
Sedgwick,2327,2371,2399,2314,2303
Summit,29197,29860,30324,30555,31007
Teller,23406,23351,24012,24625,25083
Washington,4724,4779,4831,4921,4909
Weld,275655,284474,294294,304435,314305
Yuma,10195,10086,10145,10075,10020