Month,SalesTax,LicenseFees,SalesTaxFees,RetailSalesTax,RetailExciseTax,TotalTaxFees,YearToDate,TotalToDate
Feb 2014,1330209,592661,1922870,1401568,195318,3519756,3519756,3519756
Mar 2014,1460429,857615,2318044,1434916,339615,4092575,7612330,7612330
Apr 2014,1569405,902995,2472400,1898685,609907,4980992,12593322,12593322
May 2014,1559710,761687,2321397,2217607,734351,5273355,17866677,17866677
Jun 2014,1569454,940028,2509482,2070577,1135648,5715707,23582384,23582384
Jul 2014,1530968,1547853,3078821,2473627,969637,6522085,30104468,30104468
Aug 2014,1659789,1379549,3039338,2970183,1397930,7407450,37511919,37511919
Sep 2014,1892780,1076513,2969293,3307078,1464796,7741167,45253086,45253086
Oct 2014,1795545,1050874,2846419,2940346,1446105,7232870,52485956,52485956
Nov 2014,1816579,863790,2680369,3244159,1718273,7642800,60128755,60128755
Dec 2014,1649935,1518123,3168058,2933821,1363689,7465568,67594323,67594323
Jan 2015,1874283,1245897,3120180,3472230,1965731,8558141,8558141,76152465
Feb 2015,1808419,1096793,2905212,3547864,2349219,8802295,17360436,84954760
Mar 2015,1919649,1264534,3184183,3792120,2123091,9099395,26459831,94054154
Apr 2015,2093101,1017030,3110131,4282160,2587352,9979643,36439474,104033797
May 2015,2084081,1039145,3123226,4390362,3103722,10617311,47056785,114651108
Jun 2015,2100621,1055753,3156374,4663848,3506230,11326452,58383236,125977560
Jul 2015,2394910,1133924,3528834,4394550,2933200,10856584,69239821,136834144
Aug 2015,2698757,1202753,3901510,5839613,3070314,12811437,82051258,149645581
Sep 2015,2821102,1218635,4039737,5813123,3328898,13181758,95233015,162827339
Oct 2015,2656088,1248706,3904794,4955077,2796865,11656736,106889751,174484075
Nov 2015,2256473,1221521,3477994,5207345,2604672,11290012,118179763,185774087
Dec 2015,2261503,1663120,3924623,5258248,3048539,12231410,130411173,198005496
Jan 2016,2841308,1359117,4200425,5438522,3608488,13247434,13247434,211252931
Feb 2016,2482086,1099292,3581378,5213363,3671875,12466617,25714051,223719547
Mar 2016,2599446,1417099,4016545,6163941,4015437,14195923,39909974,237915471
Apr 2016,2493845,1236794,3730639,5876965,3489694,13097298,53007272,251012768
May 2016,3292341,1408164,4700505,6944330,5538327,17183162,70190434,268195930
Jun 2016,2763721,1204950,3968671,5989446,4524531,14482648,84673082,282678578
Jul 2016,3130847,899760,4030607,7414551,5378690,16823849,101496931,299502427
Aug 2016,3440132,1159277,4599409,8263335,4711405,17574149,119071079,317076575
Sep 2016,3535768,884601,4420369,8492129,6233494,19145992,138217071,336222567
Oct 2016,3584480,1026385,4610865,8584952,6071105,19266922,157483992,355489488
Nov 2016,3304756,959239,4263995,8115943,6045927,18425864,175909857,373915353
Dec 2016,2980227,1330517,4310744,7252646,6131564,17694953,193604810,391610306
Jan 2017,3217201,1026660,4243861,7746575,6174352,18164787,18164787,409775094
Feb 2017,3056541,977414,4033955,8186608,5503295,17723858,35888645,427498951
Mar 2017,3534708,1238362,4773070,7410258,5367365,17550692,53439337,445049643
Apr 2017,3692930,1199185,4892115,10107620,7867853,22867587,76306924,467917230
May 2017,3511986,1246343,4758329,8105694,5699916,18563939,94870862,486481169
Jun 2017,3579867,1099512,4679379,8744941,6238143,19662464,114533326,506143632
Jul 2017,3691932,916556,4608488,9413260,6416003,20437751,134971077,526581383
Aug 2017,1738885,1328509,3067394,15171154,5536495,23775043,158746120,550356427
Sep 2017,1353514,1020759,2374273,15044994,5816240,23235507,181981627,573591933
Oct 2017,999826,975320,1975146,15125886,5997375,23098408,205080035,596690341
Nov 2017,1021820,1135051,2156871,13148705,5771416,21076993,226157028,617767334
Dec 2017,1137691,1190056,2327747,13307123,5576575,21211445,247368473,638978779
Jan 2018,1181904,1063563,2245467,13816947,5619025,21681438,21681438,660660217
Feb 2018,949653,983823,1933476,13445106,5756281,21134864,42816302,681795081
Mar 2018,812244,972122,1784366,13853459,5233996,20871820,63688122,702666901
Apr 2018,966721,1041014,2007735,15340824,5598581,22947141,86635263,725614042
May 2018,1014752,1158277,2173029,14608085,5586593,22367707,109002969,747981749
Jun 2018,949473,1016300,1965773,14911288,5051632,21928692,130931662,769910441
Jul 2018,792289,987870,1780159,15968272,5215347,22963778,153895440,792874219
Aug 2018,868750,1024144,1892894,16723420,4428503,23044818,176940258,815919037
Sep 2018,963946,798797,1762743,16891913,5115741,23770397,200710655,839689434
Oct 2018,628947,941454,1570401,16335453,4683825,22589679,223300334,862279113
Nov 2018,856553,927558,1784111,15192351,4630333,21606794,244907128,883885907
Dec 2018,843005,1319588,2162593,14767104,4692813,21622509,266529637,905508416
Jan 2019,768831,940956,1709787,16133789,3657559,21501134,21501134,927009550
Feb 2019,836403,836429,1672832,14823830,5285313,21781975,43283110,948791526
Mar 2019,845176,901935,1747111,14565504,3894393,20207008,63490118,968998534
Apr 2019,964709,1066187,2030896,17186221,4955331,24172448,87662566,993170982
May 2019,930131,1112902,2043033,16022901,5883220,23949154,111611720,1017120136
Jun 2019,1121264,1016198,2137462,18698640,6004970,26841073,138452793,1043961209